,property type,society,sector,price,price_per_sq_ft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxary_score,area_bedroom_ratio
1164,flat,rof ananda,sector 95,0.38,5901.0,644.0,Carpet area: 644.12 (59.84 sq.m.),3,2,1,2.0,south-east,Relatively New,,,644.111776,0,0,0,1,0,2,66,214.67
569,flat,signature global solera,sector 107,0.5,7752.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,6.0,south-east,Relatively New,,,645.0,0,0,0,0,1,0,15,215.0
103,flat,signature global solera,sector 107,0.52,8062.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,5.0,east,Relatively New,,,645.0,0,0,0,0,1,0,15,215.0
2325,flat,signature global solera,sector 107,0.51,7907.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,9.0,south,Relatively New,,,645.0,0,0,0,0,1,0,15,215.0
288,flat,rof ananda,sector 95,0.55,8527.0,645.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,14.0,east,New Property,1000.0,,645.0,1,0,0,0,0,2,81,215.0
2637,house,independent,sector 8,5.3,27390.0,1935.0,Plot area 215(179.77 sq.m.),9,9,3+,3.0,East,Moderately Old,,1935.0,,0,1,0,0,0,2,71,215.0
1862,flat,signature global solera,sector 107,0.5,7752.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,6.0,north-east,Relatively New,,,645.0,0,0,0,0,1,0,49,215.0
1795,house,independent,sector 47,5.15,26615.0,1935.0,Plot area 215(179.77 sq.m.),9,9,3+,3.0,East,Relatively New,,1935.0,,0,0,1,0,0,2,75,215.0
2437,house,dlf city plots phase 2,sector 25,6.5,33592.0,1935.0,Plot area 215(179.77 sq.m.),9,9,3+,3.0,West,Old Property,,1935.0,,1,1,1,1,0,2,142,215.0
2238,house,independent,sector 5,1.25,11574.0,1080.0,Plot area 120(100.34 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.),5,5,1,2.0,South,New Property,,120.0,,0,0,0,1,0,0,0,216.0
921,house,independent,sector 11,0.7,8102.0,864.0,Plot area 864(80.27 sq.m.),4,2,No,2.0,North,Old Property,,864.0,,0,0,0,0,0,0,7,216.0
436,house,independent,sector 24,3.5,32407.0,1080.0,Plot area 120(100.34 sq.m.),5,4,3,3.0,North-West,Old Property,,1080.0,,0,0,0,0,0,0,15,216.0
252,flat,central park flower valley,sector 33,1.4,21538.0,650.0,Super Built up area 650(60.39 sq.m.),3,3,3,2.0,na,Under Construction,650.0,,,0,0,0,0,0,0,54,216.67
3887,flat,central park flower valley,sector 33,1.4,21538.0,650.0,Super Built up area 650(60.39 sq.m.),3,3,3,2.0,na,Under Construction,650.0,,,0,0,0,0,0,0,54,216.67
3693,house,independent,sector 25,7.6,38756.0,1961.0,Plot area 215(179.77 sq.m.),9,9,3,4.0,East,Relatively New,,1935.0,,1,0,1,1,0,2,84,217.89
1907,house,independent,sector 5,1.65,8333.0,1980.0,Built Up area: 220 (20.44 sq.m.),9,9,No,1.0,,New Property,,220.0,,0,0,0,0,0,0,0,220.0
696,house,independent,sector 9,1.1,10000.0,1100.0,Built Up area: 1100 (102.19 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),5,4,2,1.0,East,undefined,,1100.0,900.0,0,0,0,0,0,0,0,220.0
3327,house,independent,sector 7,1.35,12217.0,1105.0,Plot area 150(125.42 sq.m.)Built Up area: 2052 sq.yards (1715.73 sq.m.),5,5,1,3.0,,Old Property,,2052.0,,0,0,0,0,0,0,31,221.0
2749,house,independent,sector 3,0.47,10609.0,443.0,Plot area 49(40.97 sq.m.)Built Up area: 50 sq.yards (41.81 sq.m.)Carpet area: 48 sq.yards (40.13 sq.m.),2,2,1,2.0,East,New Property,,50.0,48.0,1,0,0,0,0,2,73,221.5
1655,house,independent,sector 1,1.1,6173.0,1782.0,Plot area 1782(165.55 sq.m.),8,8,No,1.0,,New Property,,1782.0,,0,0,0,0,0,0,0,222.75
3629,flat,prime habitat,sector 99,0.27,6054.0,446.0,Carpet area: 448 (41.62 sq.m.),2,2,1,10.0,south,Relatively New,,,448.0,0,0,0,0,0,0,67,223.0
1640,house,independent,sector 109,2.0,14914.0,1341.0,Plot area 1341(124.58 sq.m.),6,4,3,3.0,East,Relatively New,,1341.0,,1,0,0,1,0,2,36,223.5
2987,house,independent,sector 108,0.18,4000.0,450.0,Plot area 450(41.81 sq.m.),2,1,1,1.0,East,Relatively New,,450.0,,0,0,0,0,0,0,0,225.0
